127.0.0.1 - - [11/Sep/2021:10:52:49 -0500] "GET /SistemaVentas/img/ticsarbo.jpg HTTP/1.1" 200 61149
127.0.0.1 - - [11/Sep/2021:10:52:49 -0500] "GET /SistemaVentas/CssIndex.css HTTP/1.1" 200 3085
127.0.0.1 - - [11/Sep/2021:10:52:50 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 200 14955
127.0.0.1 - - [11/Sep/2021:10:52:50 -0500] "GET /SistemaVentas/img/wallpaper1.jpg HTTP/1.1" 200 40418
127.0.0.1 - - [11/Sep/2021:10:52:50 -0500] "GET /SistemaVentas/img/bakbaner.png HTTP/1.1" 200 152088
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:57:17 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2741
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:57:17 -0500] "GET /SistemaVentas/CssIndex.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:57:17 -0500] "GET /SistemaVentas/img/ticsarbo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:57:17 -0500] "GET /SistemaVentas/img/mintic2022.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:57:17 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:59:04 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2773
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:59:05 -0500] "GET /SistemaVentas/CssIndex.css HTTP/1.1" 200 3146
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:59:05 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:59:21 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2773
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:59:21 -0500] "GET /SistemaVentas/CssIndex.css HTTP/1.1" 200 3148
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:59:21 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:01:06 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2741
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:01:06 -0500] "GET /SistemaVentas/CssIndex.css HTTP/1.1" 200 3087
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:01:06 -0500] "GET /SistemaVentas/img/ticsarbo.jpg HTTP/1.1" 304 -
